"fips","city","pop","white","black","asian","other","hisp"
"060830029361001","iv",196,58.6734693877551,2.55102040816327,15.3061224489796,4.59183673469388,22.4489795918367
"060830029361002","iv",203,71.4285714285714,0.985221674876847,6.40394088669951,11.3300492610837,19.2118226600985
"060830029361003","iv",83,69.8795180722892,4.81927710843374,9.63855421686747,4.81927710843374,21.6867469879518
"060830029361004","iv",81,66.6666666666667,8.64197530864197,12.3456790123457,3.7037037037037,14.8148148148148
"060830029361005","iv",83,63.855421686747,0,9.63855421686747,14.4578313253012,15.6626506024096
"060830029361006","iv",83,60.2409638554217,0,3.6144578313253,10.8433734939759,32.5301204819277
"060830029361007","iv",260,50,1.53846153846154,11.9230769230769,13.4615384615385,33.0769230769231
"060830029361008","iv",355,59.4366197183099,2.25352112676056,13.5211267605634,12.112676056338,22.5352112676056
"060830029361009","iv",83,54.2168674698795,4.81927710843374,3.6144578313253,16.8674698795181,34.9397590361446
"060830029361010","iv",73,80.8219178082192,0,1.36986301369863,6.84931506849315,23.2876712328767
"060830029361011","iv",67,67.1641791044776,0,16.4179104477612,10.4477611940298,19.4029850746269
"060830029361012","iv",83,55.421686746988,1.20481927710843,6.02409638554217,6.02409638554217,26.5060240963855
"060830029361013","iv",354,59.8870056497175,0.847457627118644,7.34463276836158,9.88700564971751,26.8361581920904
"060830029361014","iv",217,83.4101382488479,0,5.52995391705069,0.921658986175115,2.76497695852535
"060830029362000","iv",1382,43.1982633863965,1.88133140376266,26.5557163531114,19.5369030390738,29.0159189580318
"060830029362001","iv",271,22.5092250922509,0,14.760147601476,29.1512915129151,48.7084870848708
"060830029371000","ucsb",169,73.9644970414201,0,7.69230769230769,5.32544378698225,13.0177514792899
"060830029371001","ucsb",4,50,0,0,0,50
"060830029371002","ucsb",24,79.1666666666667,4.16666666666667,0,12.5,12.5
"060830029372000","goleta",360,62.7777777777778,1.11111111111111,10.2777777777778,4.72222222222222,22.2222222222222
"060830029372001","goleta",111,67.5675675675676,1.8018018018018,16.2162162162162,4.5045045045045,10.8108108108108
"060830029372002","goleta",516,17.8294573643411,3.29457364341085,39.3410852713178,22.4806201550388,47.8682170542636
"060830029372003","goleta",307,41.6938110749186,4.56026058631922,15.9609120521173,16.9381107491857,40.3908794788274
"060830029372004","goleta",128,48.4375,0,12.5,0,34.375
"060830029372005","goleta",106,54.7169811320755,8.49056603773585,7.54716981132075,14.1509433962264,26.4150943396226
"060830029372006","goleta",700,70.4285714285714,2.14285714285714,7.28571428571429,9.57142857142857,22.1428571428571
"060830029372007","ucsb",101,53.4653465346535,3.96039603960396,21.7821782178218,10.8910891089109,15.8415841584158
"060830029372008","ucsb",83,49.3975903614458,1.20481927710843,19.2771084337349,19.2771084337349,28.9156626506024
"060830029372009","ucsb",144,46.5277777777778,3.47222222222222,9.02777777777778,17.3611111111111,44.4444444444444
"060830029372010","ucsb",136,52.9411764705882,0,30.1470588235294,4.41176470588235,2.94117647058824
"060830029372011","goleta",69,78.2608695652174,2.89855072463768,8.69565217391304,2.89855072463768,10.1449275362319
"060830029372012","goleta",174,58.6206896551724,1.72413793103448,17.2413793103448,4.02298850574713,9.19540229885057
"060830029372013","goleta",0,NA,NA,NA,NA,NA
"060830029372014","goleta",15,26.6666666666667,0,26.6666666666667,6.66666666666667,13.3333333333333
"060830029372015","ucsb",0,NA,NA,NA,NA,NA
"060830029372016","ucsb",13,15.3846153846154,23.0769230769231,0,0,30.7692307692308
"060830029372017","ucsb",0,NA,NA,NA,NA,NA
"060830029372018","goleta",0,NA,NA,NA,NA,NA
"060839803001000","ucsb",0,NA,NA,NA,NA,NA
"060839803001001","ucsb",0,NA,NA,NA,NA,NA
"060839803001002","ucsb",0,NA,NA,NA,NA,NA
"060839803001003","ucsb",1157,41.0544511668107,1.81503889369058,48.9196197061366,5.35868625756266,10.1987899740709
"060839803001004","ucsb",0,NA,NA,NA,NA,NA
"060839803001005","ucsb",0,NA,NA,NA,NA,NA
"060839803001006","ucsb",0,NA,NA,NA,NA,NA
"060839803001007","ucsb",860,29.4186046511628,1.27906976744186,66.5116279069767,1.3953488372093,1.74418604651163
"060839803001008","ucsb",1448,30.3867403314917,1.24309392265193,65.7458563535912,1.79558011049724,2.69337016574586
"060839803001009","ucsb",1444,29.4321329639889,1.93905817174515,66.3434903047091,1.93905817174515,1.86980609418283
"060839803001010","ucsb",0,NA,NA,NA,NA,NA
"060839803001011","ucsb",0,NA,NA,NA,NA,NA
"060839803001013","ucsb",0,NA,NA,NA,NA,NA
