"fips","city","pop","white","black","asian","other"
"060830029305002","goleta",326,57.0552147239264,0.613496932515337,16.2576687116564,17.4846625766871
"060830029305003","goleta",110,71.8181818181818,0.909090909090909,16.3636363636364,7.27272727272727
"060830029305004","goleta",42,80.9523809523809,4.76190476190476,9.52380952380952,0
"060830029305005","goleta",47,100,0,0,0
"060830029305006","goleta",60,93.3333333333333,0,3.33333333333333,3.33333333333333
"060830029305007","goleta",108,79.6296296296296,0,12.962962962963,0
"060830029305008","goleta",8,62.5,0,37.5,0
"060830029305009","goleta",8,100,0,0,0
"060830029305010","goleta",131,68.7022900763359,1.52671755725191,6.10687022900763,14.5038167938931
"060830029305011","goleta",30,96.6666666666667,3.33333333333333,0,0
"060830029306003","goleta",0,NA,NA,NA,NA
"060830029221000","sb",971,61.9979402677652,3.08959835221421,27.0854788877446,2.98661174047374
"060830029222000","sb",1307,59.831675592961,2.06579954093344,19.8928844682479,10.4055087987758
"060830029223001","sb",0,NA,NA,NA,NA
"060830029225000","sb",1000,57.7,2.9,25.1,8.4
"060830029225001","sb",77,57.1428571428571,18.1818181818182,7.79220779220779,9.09090909090909
"060830029225002","sb",22,59.0909090909091,9.09090909090909,22.7272727272727,9.09090909090909
"060830029225003","sb",0,NA,NA,NA,NA
"060830029225004","sb",41,73.1707317073171,0,19.5121951219512,2.4390243902439
"060830029225005","sb",20,90,0,10,0
"060830029225006","sb",57,66.6666666666667,8.7719298245614,14.0350877192982,7.01754385964912
"060830029225007","sb",65,66.1538461538461,6.15384615384615,13.8461538461538,4.61538461538462
"060830029225008","sb",80,68.75,0,15,11.25
"060830029225009","sb",18,83.3333333333333,0,5.55555555555556,5.55555555555556
"060830029225010","sb",75,68,2.66666666666667,18.6666666666667,6.66666666666667
"060830029151007","sb",84,46.4285714285714,0,23.8095238095238,11.9047619047619
"060830029151008","sb",109,40.3669724770642,11.0091743119266,37.6146788990826,6.42201834862385
"060830029151009","sb",108,63.8888888888889,8.33333333333333,15.7407407407407,6.48148148148148
"060830029151010","sb",110,52.7272727272727,1.81818181818182,22.7272727272727,17.2727272727273
"060830029151011","sb",0,NA,NA,NA,NA
"060830029151012","goleta",0,NA,NA,NA,NA
"060830029281000","iv",0,NA,NA,NA,NA
"060830029281001","sb",405,82.962962962963,1.72839506172839,5.92592592592593,5.18518518518519
"060830029281002","sb",23,100,0,0,0
"060830029281004","iv",57,75.4385964912281,0,10.5263157894737,0
